ticker,method,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
SPY,always_up,0.5695094554755395,0.2550615477151199,0.12824879335704598,1.988802709472875,-0.09974327784939874,1,1.0,0.0007942165207464047,0.570303671996286
SPY,arima,0.4853905843563695,0.22069649056084883,0.1248903088746063,1.7671226258430899,-0.08489079536737565,11,0.906,0.008207893441025904,0.4935984777973954
SPY,prophet,0.15440923822393504,0.07505166453437306,0.09526460632743775,0.7878231740800987,-0.0840560880521537,31,0.508,0.018036011050669654,0.1724452492746047
SPY,xgboost,0.28204302734213926,0.13339922388348535,0.0972105198497467,1.3722714793591648,-0.09273842924725251,154,0.606,0.10251358824479895,0.3845566155869382
SPY,lstm_returns,0.2560319418432828,0.1217506884022701,0.10975569479375837,1.1092881205941203,-0.10663982584406284,55,0.616,0.035008594397635706,0.2910405362409185
GOOGL,buy_and_hold,1.1558712281375483,0.4728072031680095,0.2923065606083214,1.6175045889631996,-0.22137641140089614,1,1.0,0.0011020083756725363,1.1569732365132208
GOOGL,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GOOGL,momentum,0.49737581415715226,0.225650735824787,0.21501636372167826,1.0494584315307,-0.15249257890203094,242,0.568,0.19265974271830033,0.6900355568754526
GOOGL,always_up,1.1558712281375483,0.4728072031680095,0.2923065606083214,1.6175045889631996,-0.22137641140089614,1,1.0,0.0011020083756725363,1.1569732365132208
GOOGL,arima,0.8654529589405497,0.36922647569719547,0.2698725828599569,1.3681511170358331,-0.2213764114008956,45,0.92,0.04244519924762424,0.907898158188174
GOOGL,prophet,0.15628120704524107,0.07592992663745446,0.1904976663745832,0.3985871747538912,-0.23427809365588081,80,0.43,0.04718530109340291,0.20346650813864398
GOOGL,xgboost,0.5690043293411116,0.2548579531734765,0.1982341432771789,1.2856410553711926,-0.144804324007754,183,0.516,0.15038081581280638,0.7193851451539179
GOOGL,lstm_returns,0.6969036615472814,0.30541086231822945,0.21527308266508896,1.4187136567992213,-0.20196603860342988,65,0.596,0.05603008456442837,0.7529337461117098
AMZN,buy_and_hold,1.5754949510818492,0.6109193353065576,0.30645953468993753,1.9934747206500176,-0.19643963852442092,1,1.0,0.0013197184320223876,1.5768146695138716
AMZN,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
AMZN,momentum,0.2848238927634801,0.13463761373990302,0.22860176764959303,0.5889613852255036,-0.23076051551262844,250,0.536,0.17093567346023386,0.45575956622371394
AMZN,always_up,1.5754949510818492,0.6109193353065576,0.30645953468993753,1.9934747206500176,-0.19643963852442092,1,1.0,0.0013197184320223876,1.5768146695138716
AMZN,arima,0.3143073157545204,0.14768643973027373,0.19820876728825526,0.7451054852457316,-0.19489997863769581,43,0.436,0.028550840140235012,0.34285815589475543
AMZN,prophet,0.24168130270626698,0.11527280222194736,0.22678074857329392,0.5083006513874876,-0.23719811072796881,39,0.546,0.024492722691334068,0.26617402539760104
AMZN,xgboost,0.22361691812636297,0.10706550398082282,0.20420047509085115,0.5243156458533612,-0.2560911324924837,203,0.504,0.13069926533792153,0.3543161834642845
AMZN,lstm_returns,0.04868349893663315,0.02424722254544065,0.20454144216694306,0.118544302262475,-0.28457365906348564,87,0.42,0.046750714863695864,0.09543421380032902
META,buy_and_hold,3.6121675272117795,1.1607680877720399,0.38203942137326524,3.038346366455023,-0.18426443587416286,1,1.0,0.0023150567167808944,3.6144825839285604
META,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
META,momentum,1.2837418859811929,0.5162056013786918,0.32039230481000747,1.6111672896913098,-0.17201926973204695,260,0.534,0.31621078525668533,1.5999526712378782
META,always_up,3.6121675272117795,1.1607680877720399,0.38203942137326524,3.038346366455023,-0.18426443587416286,1,1.0,0.0023150567167808944,3.6144825839285604
META,arima,1.2377543465906866,0.5007399867097551,0.30158381920902216,1.6603675489721863,-0.18426443587416297,1,0.8,0.0011101287558181738,1.2388644753465048
META,prophet,1.119875755324181,0.4603617374637943,0.2939446385969541,1.5661511625494389,-0.18426443587416286,19,0.708,0.020270913566480697,1.1401466688906616
META,xgboost,2.1266792640504217,0.7763232491972722,0.3024298318627082,2.5669532810827134,-0.1560917899075679,203,0.538,0.3335393280579644,2.460218592108386
META,lstm_returns,1.1034397889827612,0.454644143380843,0.27983074830806215,1.6247111731993475,-0.18426443587416264,51,0.642,0.0542947805999523,1.1577345695827135
NVDA,buy_and_hold,8.10693760599176,2.044553920389673,0.5050784328255638,4.047992920528819,-0.2704675783296313,1,1.0,0.0047103986492320615,8.111648004640992
NVDA,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NVDA,momentum,2.2392272649817073,0.8082666611342042,0.34311007661320625,2.3557065683191136,-0.3045643315982959,237,0.564,0.407173035083805,2.6464003000655123
NVDA,always_up,8.10693760599176,2.044553920389673,0.5050784328255638,4.047992920528819,-0.2704675783296313,1,1.0,0.0047103986492320615,8.111648004640992
NVDA,arima,7.101851718114888,1.8702946555313678,0.49409499474851304,3.7852936690510695,-0.27046757832963164,41,0.95,0.16749574696891578,7.269347465083804
NVDA,prophet,5.160598277500722,1.5001722849590062,0.4267398419269652,3.5154258814571966,-0.26684459221474155,105,0.674,0.3304528170295704,5.491051094530293
NVDA,xgboost,3.9233025906412777,1.2330440512320346,0.41794594246419103,2.9502476898377354,-0.23283226446529237,191,0.582,0.49322407004106417,4.416526660682342
NVDA,lstm_returns,4.190627263997213,1.2933524366909444,0.47748613374883925,2.708670148254517,-0.2804032759698428,57,0.856,0.15008283741208928,4.340710101409302
JPM,buy_and_hold,0.8523518203152831,0.36437147855179997,0.22180620488986968,1.6427470040016068,-0.1348657364284146,1,1.0,0.0009268445246495283,0.8532786648399326
JPM,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
JPM,momentum,0.4202511448666375,0.1934164905710638,0.1694018545145651,1.1417613527627228,-0.1637152951405909,242,0.57,0.18249918786031039,0.6027503327269479
JPM,always_up,0.8523518203152831,0.36437147855179997,0.22180620488986968,1.6427470040016068,-0.1348657364284146,1,1.0,0.0009268445246495283,0.8532786648399326
JPM,arima,0.4219400064713352,0.19413151926000793,0.20240528047710984,0.9591227995751939,-0.18639003278164623,153,0.806,0.11308100238641305,0.5350210088577483
JPM,prophet,0.3398890345248331,0.15889127129379088,0.17874957643115877,0.8889043233900146,-0.12385636708347603,63,0.51,0.042824260009211024,0.3827132945340441
JPM,xgboost,0.12151295611877422,0.05950098478943788,0.17191155038764067,0.3461139443816896,-0.160287179076137,181,0.488,0.1062970779364949,0.22781003405526912
JPM,lstm_returns,0.23518916038686988,0.11233004942503078,0.18495290905930864,0.6073440531233278,-0.13831994605707054,71,0.554,0.04471010007599885,0.2798992604628687
XOM,buy_and_hold,0.07640005829246155,0.037802592258907364,0.22227661746062527,0.17007003566447482,-0.18731123018173546,1,1.0,0.000526679405122632,0.07692673769758418
XOM,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
XOM,momentum,0.08420577579194632,0.041588809028780815,0.1558542406774388,0.26684425683901936,-0.11414038189943754,230,0.502,0.1320983772448625,0.21630415303680883
