signal,scheme,stop_loss,cost_bps,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,exposure,daily_turnover,cost_drag,n_stop_hits,sharpe_vs_bh
xgb_tuned_decay,signal_prop,0.1,5.0,1.3131491065224479,0.5545549725910788,0.28038023633577175,1.9778675552829148,3.61347086230411,-0.16276997161624618,1.0,0.44452474898338207,0.25950417745551446,6,-0.6423821781182444
patchtst,equal_sleeve,,5.0,0.42021424202231095,0.20268740597074775,0.09202872041322034,2.202436424853635,3.471554029271005,-0.0531031897234957,0.5235908141962421,0.48204592901878923,0.173632085324942,0,-0.4178133085475242
patchtst,equal_sleeve,0.05,5.0,0.3823378331516605,0.1857047779053791,0.0884660018858188,2.0991654867037433,3.246479926073099,-0.05290354056471658,0.5150313152400835,0.48204592901878923,0.1690134493436033,20,-0.5210842466974159
patchtst,equal_sleeve,0.1,5.0,0.4089707528027702,0.19766881109020695,0.09171971538310138,2.155139822060829,3.38559741447603,-0.0531031897234957,0.5231732776617954,0.4820459290187892,0.17225889488112633,1,-0.4651099113403303
patchtst,equal_active,,5.0,0.7988526597797141,0.36192179446635664,0.17872547713744352,2.02501512522488,3.2445017941009464,-0.12060635924739116,1.0,1.1258806375716603,0.5557745196207198,0,-0.5952346081762792
patchtst,equal_active,0.05,5.0,0.7292544304088346,0.33394100309571106,0.1740649554750847,1.9184849827138852,3.0175055157204542,-0.12336300870257089,1.0,1.1380836398581702,0.5409443571012689,20,-0.701764750687274
patchtst,equal_active,0.1,5.0,0.781151646620782,0.3548547782739375,0.17833289975399455,1.9898447160532362,3.1811484756055726,-0.12060635924739116,1.0,1.1268946548696026,0.5508717589131067,1,-0.630405017347923
patchtst,inv_vol,,5.0,0.27064659473514796,0.1342976243596521,0.07619359588698406,1.7625841489204972,2.590788227348194,-0.048515709041558996,0.5306594051680648,0.49172967235108295,0.15869639044504802,0,-0.857665584480662
patchtst,inv_vol,0.05,5.0,0.2537155414984822,0.1263208130239637,0.07499221215280209,1.6844524170933355,2.4586920103992482,-0.04828174476704805,0.5258714438724906,0.49165123819995327,0.15656255111862105,20,-0.9357973163078237
patchtst,inv_vol,0.1,5.0,0.2668918681364494,0.13253300916298594,0.0760946385565155,1.741686558699581,2.556746342399588,-0.048515709041558996,0.530504628485891,0.49172967235108295,0.15822804561543635,1,-0.8785631747015783
patchtst,signal_prop,,5.0,0.5293703240081875,0.25046453189830653,0.22317917179342164,1.1222576456648055,1.7353856157082546,-0.19346317490808518,1.0,1.3634967859039595,0.5898958508405299,0,-1.4979920877363537
patchtst,signal_prop,0.05,5.0,0.5398013582879422,0.2549442534769413,0.2178894734603718,1.170062277117342,1.8064657077366923,-0.20067598464940073,1.0,1.3718013672878613,0.5981546372723314,20,-1.4501874562838173
patchtst,signal_prop,0.1,5.0,0.5084225883746074,0.24142434110041422,0.22267525726297846,1.084199223873774,1.6727491339876004,-0.19346317490808518,1.0,1.363356064150431,0.5817556419152365,1,-1.536050509527385
