ticker,fold,method,train_days,test_days,rmse_ret,dir_acc,fit_secs
AMZN,2,arima,705,100,0.018372485322325282,0.54,1.1
AMZN,2,prophet,705,100,0.019456554891311168,0.51,0.17
AMZN,2,xgboost,705,100,0.01839540488097171,0.58,0.14
AMZN,2,lstm_returns,705,100,0.018309243802352347,0.56,3.34
AMZN,3,persistence_zero,805,100,0.017144721976146898,,0.0
AMZN,3,momentum,805,100,0.022656029427389566,0.5151515151515151,0.0
AMZN,3,always_up,805,100,,0.5252525252525253,0.0
AMZN,3,arima,805,100,0.017159563930351836,0.5252525252525253,2.15
AMZN,3,prophet,805,100,0.01830484322036863,0.47474747474747475,0.31
AMZN,3,xgboost,805,100,0.021110696468387667,0.5050505050505051,0.33
AMZN,3,lstm_returns,805,100,0.017166361480555937,0.5151515151515151,6.32
AMZN,4,persistence_zero,905,100,0.01811044854247894,,0.0
AMZN,4,momentum,905,100,0.02647318980240429,0.53,0.0
AMZN,4,always_up,905,100,,0.55,0.0
AMZN,4,arima,905,100,0.018075293000563722,0.54,2.76
AMZN,4,prophet,905,100,0.018674661972925114,0.46,0.64
AMZN,4,xgboost,905,100,0.018499959312427715,0.53,35.06
AMZN,4,lstm_returns,905,100,0.018062835881306256,0.54,6.49
META,0,persistence_zero,505,100,0.033596553263253365,,0.0
META,0,momentum,505,100,0.04593814140174639,0.48,0.0
META,0,always_up,505,100,,0.53,0.0
META,0,arima,505,100,0.03386856751858601,0.47,1.44
META,0,prophet,505,100,0.03649056927415546,0.51,0.24
META,0,xgboost,505,100,0.034407018786959974,0.58,0.25
META,0,lstm_returns,505,100,0.03410171973506852,0.47,3.6
META,1,persistence_zero,605,100,0.018575537141416094,,0.0
META,1,momentum,605,100,0.02687440439890724,0.46464646464646464,0.0
META,1,always_up,605,100,,0.5252525252525253,0.0
META,1,arima,605,100,0.018538242928338902,0.5252525252525253,1.05
META,1,prophet,605,100,0.018771060186157946,0.5151515151515151,0.18
META,1,xgboost,605,100,0.02122625492193996,0.5050505050505051,0.17
META,1,lstm_returns,605,100,0.018510078858973086,0.5454545454545454,3.7
META,2,persistence_zero,705,100,0.026816966518433297,,0.0
META,2,momentum,705,100,0.039272638062654505,0.48,0.0
META,2,always_up,705,100,,0.55,0.0
META,2,arima,705,100,0.02670405459201768,0.55,1.2
META,2,prophet,705,100,0.02700880198324303,0.58,0.18
META,2,xgboost,705,100,0.02810395932913634,0.49,0.17
META,2,lstm_returns,705,100,0.026633683505435414,0.57,4.06
META,3,persistence_zero,805,100,0.022698260506560555,,0.0
